# 士兰微：归母翻倍，扣非没动，士兰微的钱哪来的？
UP: 鑫观点  时长: 04:34  发布: 2026-08-22  BV: BV1tc8y6LEgK
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 行业涨价潮烧得正旺
[00:02] 是蓝威的利润却卡了壳
[00:03] 这波能持续吗
[00:05] 没错
[00:05] 今天聊的就是国内功率半导体IDM龙头士兰微
[00:09] 你看啊
[00:10] 涨价潮轰轰烈烈
[00:11] 上半年归母净利翻倍
[00:12] 扣飞却几乎原地踏步
[00:14] 这翻倍的成色到底有多少是卖芯片赚来的
[00:17] 咱们先说说这波行业涨价到底有多热
[00:20] 2026年以来
[00:21] 英飞凌
[00:21] 华润威
[00:22] 杨洁这些功率半导体大厂一个接一个提价幅度
[00:26] 10%到25%
[00:27] 八英寸晶圆产线的产能利用率也从七成多
[00:31] 一路拉到九成上下
[00:32] 按理说行业这么火
[00:34] 龙头应该最受益
[00:35] 对不对
[00:36] 可偏偏士兰微的扣非利润越走越没劲
[00:39] 那问题到底出在哪
[00:40] 咱们一层一层往里拆
[00:41] 先把上半年这笔账拆开看啊
[00:43] 归母净利润5.19亿
[00:45] 表面看是翻了快一倍对吧
[00:47] 可看这张环形图
[00:49] 真正靠卖芯片赚的扣费只有2.76亿
[00:52] 占53%
[00:53] 剩下1.94亿是持有的安禄科技
[00:56] 玉能科技
[00:56] 这些股票涨出来的
[00:58] 公允价值变动占了37%
[01:00] 说白了这翻倍里头有一半是炒股炒出来的
[01:03] 主页只贡献了一半多一点
[01:05] 这还没完
[01:06] 你再往下看一层
[01:07] 有个更隐蔽的借力
[01:09] 看这组数字
[01:10] 2025年全年
[01:11] 合并报表的净利润只有1.38亿
[01:14] 归母净利润却有3.99亿
[01:16] 中间差的2.6亿
[01:17] 哪来的是少数股东替你扛了
[01:19] 子公司士蓝明家这些亏损
[01:21] 也就是说归母利润能这么好看
[01:24] 一部分是靠子公司亏损寄到少数股东头上
[01:27] 等哪天子公司扭亏了
[01:28] 这笔账可就要反过来分走了
[01:30] 那主业自己走得怎么样呢
[01:32] 拉长看这张趋势图
[01:34] 你看扣非增速就是一条向下的斜线
[01:36] 2025年全年还增47.8%
[01:39] 今年一季度只剩8.8%
[01:41] 半年报预告呢掉到2.8%
[01:43] 行业在回暖
[01:44] 大家在抢产能
[01:46] 这条曲线却一路往下
[01:47] 是不是有点不对劲
[01:48] 再跟同行摆在一起比一比呢
[01:50] 差距就更刺眼了
[01:51] 看这组对比注
[01:52] 同样是一季度扣费增速
[01:54] 华润微暴增117%
[01:56] 杨洁科技也涨了41%
[01:58] 士兰微只有8.8%
[02:00] 更别提斯达半岛上半年扣费预降八成
[02:02] 新节能也在阴跌
[02:04] 说白了
[02:05] 这轮涨价的暖风并没有平等的吹到每一家身上
[02:08] 士兰微明显是掉队的那一个
[02:10] 再把镜头拉远一点
[02:11] 看这张面积图
[02:12] 讲的是更长远的商
[02:13] 毛利率从2021年的33%
[02:16] 一路滑到2025年的18.8%
[02:18] 5年几乎腰斩
[02:19] 今年一季度只微回一点19.8%
[02:22] 离巅峰还差得远
[02:23] 为什么
[02:24] 说白了IDM重资产模式
[02:26] 产能利用率一掉
[02:27] 折旧和固定成本先砸下来
[02:29] 毛利率就这么被一层层磨掉了
[02:31] 涨价能救一时
[02:32] 救不了这个结构
[02:34] 那结构的病根在哪呢
[02:35] 看这张饼图
[02:36] 答案藏在产品结构里
[02:38] 集成电路这块毛利最高31.6%
[02:41] 可收入只占37.7%
[02:43] 大头分立器件占了40%的收入
[02:46] 毛利率却只有12.2%
[02:48] l e led更惨1.9%
[02:50] 说白了赚的最多的业务偏偏不是卖得最多的
[02:53] 利润的大头压在毛利最低的产品上
[02:55] 这就是毛利率上不去的根源
[02:58] 再来看一个隐形的压力源呢
[02:59] 就是折旧
[03:00] 世蓝威是IDM模式
[03:02] 自己建厂
[03:02] 自己扛折旧
[03:03] 2025年折旧就从10.9亿涨到12.5亿
[03:07] 一年多压了1.6亿
[03:08] 更要命的是
[03:09] 年初刚通线的八英寸碳化硅产线还在爬坡
[03:12] 子公司士蓝明家
[03:13] 去年光sic就亏了接近五个亿
[03:15] 你看产能是明天的希望
[03:17] 也是今天的成本
[03:18] 这笔账早晚要算
[03:20] 你要是以为这轮上涨能直接回到2021年
[03:23] 那得先看看这张图
[03:24] 2021年士兰微归母净利15.18亿
[03:27] 2年还有10.52亿
[03:29] 2023年啪一下亏了0.36亿
[03:31] 2024年才爬回2.2亿
[03:33] 2025年3.99亿
[03:34] 你看这就是典型的强周期
[03:36] 涨一年要跌好几年才能缓过来
[03:38] 这轮涨价再猛
[03:39] 它本质上还是周期里的反弹
[03:41] 不是新成长的起点
[03:43] 那涨价到底啥时候能变成利润呢
[03:45] 看这条时间线就明白了
[03:47] 3月第一轮涨价10%
[03:49] 可旧订单还没消化完
[03:50] 上半年基本按旧价结算
[03:52] 7月第二轮涨15%以上
[03:54] 红利真正要落在下半年
[03:55] 你看三季度才是检验士兰微
[03:58] 这波涨价成色的关键窗口
[03:59] 能不能把毛利率拉回25%以上
[04:02] 就看这一下了
[04:03] 最后啊把风险也摆到桌面上
[04:05] 看这张词云
[04:06] 估值高企是头号问题
[04:07] 130多倍的市盈率
[04:09] 扣非增速却只有2.8%
[04:11] 成长撑不起估值
[04:12] 碳化硅爬坡亏损
[04:14] 折旧压力
[04:15] 短期都要靠涨价去对冲公允价值变动
[04:17] 这种收益今年有
[04:18] 明年未必有
[04:19] 你懂的
[04:20] 这些变量哪个都不能忽视
[04:22] 想清楚再下结论
[04:23] 视频只讲分析逻辑
[04:25] 想要完整深度报告的老铁
[04:26] 评论区留言告诉我
[04:28] 我来发给你
[04:28] 我是老辛
[04:29] 咱们下期见
