# 士兰微VS新洁能：功率半导体双强对决
UP: 硬科技公司投研局  时长: 08:45  发布: 2026-08-23  BV: BV1B68p6uEoe
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 各位好
[00:01] 我是你们的首席战略官
[00:03] 今天呀咱们废话不多说
[00:05] 直接跳过那些温情脉脉
[00:07] 毫无营养的宏观行业展望
[00:10] 半导体国产替代
[00:11] 现在已经彻底进入深水区了对吧
[00:15] 所以我今天只说一件事
[00:17] 对所谓功率半导体领域的双强士兰微和新节能
[00:21] 进行一次极其冷酷
[00:23] 穿透底层的财务与战略升级
[00:26] 嫉妒了
[00:27] 我不想停
[00:28] 什么天花乱坠的PPT故事
[00:30] 我只要看谁的底层资产绝对安全
[00:33] 谁的技术变现具有百分之百的确定性
[00:36] 各位资本配置啊
[00:38] 打起精神
[00:38] 咱们直接进入核心数据的无情交锋
[00:42] 先来看看这个数字
[00:43] 130.52亿元
[00:46] 这是重资产
[00:47] IDM巨头施兰威在2025年交出的营收体量
[00:51] 说实话
[00:52] 在硬科技的重资产战场上
[00:54] 规模它就是底细
[00:56] 是构筑重装装甲的基石
[00:59] 但是这么庞大的体量来得轻松吗
[01:01] 绝对不可能
[01:03] 这背后是极其沉重的资本开支
[01:06] 漫长到让人抓狂的在建工程
[01:08] 还有极其痛苦的工艺量产爬坡
[01:11] 任何一家想成为基础设施级别的平台型大厂
[01:15] 都必须咽下这些苦水
[01:17] 你必须得明白
[01:18] 这种百亿级别的营收
[01:20] 全是用无数个日夜的产能打磨
[01:22] 用巨额的真金白银硬生生砸出来的
[01:26] 那么作为对比呢
[01:28] 18.77亿元
[01:30] 这是标榜敏捷轻资产的fabulous设计商
[01:33] 新节能同期的营收表现
[01:36] 各位这两家公司的顶线规模相差了整整七倍啊
[01:40] 一个是全产业链覆盖的重装航母
[01:43] 另一个是典型的精品轻骑兵
[01:46] 不过在我们的无情审计下
[01:48] 营收规模的绝对值
[01:49] 那不过就是一层皮
[01:51] 真正的利润绞肉机其实藏在底层的盈利结构里
[01:56] 所以我们今天必须穿透这两张
[01:59] 差异极大的资产负债表
[02:00] 去挖点更深的东西出来
[02:02] 这就引出了一个非常有意思的现象
[02:05] 我管的叫净利润悖论
[02:08] 你仔细看士兰微的归母净利润是3.99亿元
[02:12] 可是营收只有他1/7的新节能
[02:15] 归母净利润居然也达到了惊人的3.94亿元
[02:19] 两者可以说是完全持平了
[02:22] 这就不由得让我们这些做战略审计的人
[02:25] 要严厉地问一句了
[02:26] 这到底是为什么
[02:28] 是因为新节能真的是一台天才般的印钞机
[02:31] 还是说
[02:32] 士兰微现在正背负着
[02:34] 维持庞大帝国所必需的重装铠甲
[02:37] 这利润数字背后
[02:38] 其实是两种完全不在一个维度的生存逻辑
[02:42] 那咱们就先无情地扒开
[02:44] 新节能这层高利润的外衣
[02:46] 看看新节能凭什么能保持高达30%
[02:50] 2.86的综合毛利率
[02:53] 凭什么他资产负债率极低
[02:55] 账面上还藏着大把现金
[02:57] 根本原因就在于
[02:59] 他没有任何固定资产的折旧包袱
[03:01] 他极其充分的把最重的晶圆制造全甩给了上游
[03:06] 但这真的安全吗
[03:07] 咱们推演一下
[03:08] 当上游晶圆代工厂产能一旦紧缺
[03:12] 或者人家单边直接给你涨价的时候
[03:14] 这种轻资产模型瞬间就会沦为砧板上的鱼肉
[03:18] 毛利被极致挤压
[03:20] 不说我就问你
[03:21] 你拿什么像端游核心大客户去保盛娇妻
[03:25] 没有底层工艺制造的所谓敏捷
[03:27] 在产能紧缺的时候
[03:29] 那就是在战略上裸奔
