# 面试官问：Dense 和 MoE 区别在哪？
UP: AI深度幻觉  时长: 09:00  发布: 2026-04-30  BV: BV1o49YBHEFd
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 大家好
[00:01] 这里是AI深度幻觉
[00:02] 今天聊一道大模型岗
[00:04] 面试几乎每场都会问的题
[00:06] 答的浅就直接被刷
[00:08] 分别讲讲dance和MOE它们有啥区别
[00:11] 我念过这题两次
[00:13] 我答完一个全用
[00:14] 一个用一部分面试官只回了三个字
[00:17] 然后呢当时就懵了
[00:19] 对这是经典陷阱
[00:21] 全用和用一部分是字典定义
[00:24] 所有人都能答出来
[00:25] 面试官想听的是四层递进
[00:27] 达到哪一层算及格
[00:29] 达到第二层及格
[00:31] 第四层就是offer级
[00:33] 我们之前在transformer是啥
[00:35] 那期聊过股价不动零件全换
[00:37] 今天专门拆零件里最关键的那块参数怎么排
[00:41] 第一层death本质每个字进来
[00:45] 整个网络的参数从头到尾全部参与计算
[00:49] 全部参数都转一遍
[00:51] 对拉姆3.14饼5B
[00:53] 这种death旗舰每生成一个字
[00:56] 那4000多亿参数全在转4000多亿
[00:59] 这推理账有点吓人
[01:01] 训练呢训练更下
[01:03] 拉玛3.1405B一共烧了3000多万H
[01:07] 100卡时
[01:07] 一卡池就是一张H100跑一小时
[01:10] 折合21.6几瓦时
[01:12] 电力近9000吨
[01:13] 二氧化碳近9000吨二氧化碳
[01:16] 这成本基本只有大厂能扛
[01:18] 所以MOE出现了每层那块负责加工的内部网络
[01:22] 被切成几十上百个小专家
[01:25] 每个字进来
[01:26] 路由器向餐厅调度员把订单分给不同档口
[01:30] 只挑几个专家干活
[01:32] 其他专家睡觉
[01:33] 所以一个字不再用全部参数对
[01:36] 看一组对照
[01:38] Deep seek v3
[01:39] 总参数6710亿单字只激活370亿
[01:43] 37÷671
[01:44] 差不多5.5%的算力
[01:46] 跑出接近同尺寸dance的水平
[01:49] 训练杖比lama3.1405B应该差很多吧
[01:52] 差11倍
[01:54] deep sick v3训练只用了280万张
[01:57] H810小时
[01:58] 成本约500多万美金
[01:59] 同等质量1/11算力
[02:02] 难怪MATTA也把拉马斯切到贸易了
[02:06] 从V3试出到拉玛四全切MOE只用了四个月
[02:11] 这就是真实的行业转向速度
[02:13] 但等一下第二层来了
[02:16] MOE是不是trade off之后的次有产物
[02:19] 直觉上确实啊稠密度被打折了
[02:22] 质量肯定弱一些的
[02:24] 一半
[02:25] 等总参数下
[02:26] dance确实略胜连switch transformer这种MOE电机论文
[02:31] 自己都坦诚预训练损失打平的情况下
[02:34] death在super glue这种推理基准上略胜几个点
[02:38] 但有个陷阱等总参数加上算力
[02:41] go dance跑
[02:42] 这假设在2000亿以上
[02:44] 规模根本不成立
[02:46] 不成立2000亿
[02:48] 这门槛是怎么定的
[02:49] 是物理矛盾
[02:54] death按chinchilla那套缩放率
[02:56] deep man的那篇参数翻倍
[02:58] 数据也翻倍的论文
[03:00] deep man就是google旗下做alpha go那家算账没人付得起
[03:04] 拉玛3.15100卡时
[03:06] dance再翻倍几乎就做不动了
[03:08] 拉玛37点块卡时都不动了
[03:11] 所以等条件下dance更强是个伪命题
[03:15] 在产业能付得起的预算下
[03:17] 莫易永远赢
[03:19] 最有力的反正是苹果
[03:21] 差不多两年前那篇论文
[03:22] 2024年5月发的
[03:24] 他们特意用对贸易不利的口径做对照
[03:27] 同强中时间预算就是真实跑一样长
[03:31] 而不是同算力
[03:32] 结果激活60多亿的贸易
[03:34] 对290亿的dance
[03:36] 在MMLU这个综合学科考试基准上高一点
[03:40] 三四分跑得快
[03:41] 3.55倍
[03:42] 所以一句话
[03:43] MOE不是被迫的次优
[03:46] 对准确说法是MOE用放弃稠密度换放大总参数
[03:52] 总参数放大带来的质量超过稠密度损失
[03:56] 所以贸易不是次优产物
[03:58] 是把质量成本边界推到了dance
[04:02] 物理上到不了的位置
[04:03] 意思是dance想追也追不上
[04:06] 对物理上追不上
[04:08] 第三层架构差异
[04:10] 这点最有意思
[04:11] 科恩自己有两个参数量差不多的模型
[04:13] 一个dance一个moi差到啥程度
[04:16] 跟那群里层维度5000多
[04:18] 内部维度2万7000多
[04:21] 内部维度2万7000多QN3
