# 精讲：中国巨石这次反弹大概能到哪里？功率半导体涨价，士兰微下周会继续开始反弹吗？创业板指数超跌反弹，这一次大概能反弹到哪里去？
UP: 吴姐有规律  时长: 07:56  发布: 2026-08-23  BV: BV13i8x6zEe9
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] B站的各位宝子们
[00:02] 我是吴姐
[00:03] 应粉丝要求
[00:04] 吴姐会在接下来的日子里持续给大家分享
[00:09] 我自己在市场里面摸索出来的规律
[00:13] 今天是礼拜天
[00:15] 宝子们还是先看看我这周的一个情况哈
[00:19] 吴姐本周一共是挣了七个点左右
[00:23] 自己觉得也还行好
[00:26] 那吴姐现在跟宝子们聊聊周末的一个消息面哈
[00:32] 第一个消息就是英伟达服务器这块
[00:36] 周末继续在传
[00:37] 涨价超过15%
[00:40] 这条消息无解
[00:42] 只能说看明天市场的一个反馈了
[00:46] 谈到利好的话
[00:48] 那无疑的就是存储芯片
[00:50] 英伟达产业链这块简称呢
[00:54] 就是我们熟悉的站在光里
[00:57] 但是这一块标的的市值都大
[01:01] 容易吃成交量
[01:03] 如果说成交量释放不出来
[01:06] 那就还是不行
[01:09] 那吴姐就借着这个英伟达的涨价的消息
[01:14] 跟宝子们着重的来聊一聊这个中国巨石
[01:19] 周五的时候
[01:21] 吴姐也是相当于就打了一个底仓
[01:24] 那为什么吴姐会选择这个中国巨石
[01:28] 来跟宝子们好好的去分享一下呢
[01:32] 主要就是说有以下几个原因
[01:35] 我们从中国巨石的F10可以看得出来
[01:40] 他主要做的就是英伟达的细分PCB这块
[01:50] 简称的话呢就是叫玻璃纤维材料端这块
[01:55] 当然吴姐周五买进去的时候
[01:57] 可不知道英伟达会涨价15%哈
[02:01] 只能是说天助我也呀
[02:05] 为什么吴姐会在PCB细分里面
[02:09] 主要想跟宝子们聊聊
[02:11] 这个中国巨石了那么多戏份以及个股
[02:16] 我们从他的日线可以看得出来
[02:20] 他现在一时是在20日均线附近徘徊的
[02:25] 从他的走势来说
[02:26] 吴姐个人认为走势相比其他
[02:30] 需要去强势于其他的PCB方向的
[02:35] 虽然说他这一次的超跌反弹的力度
[02:39] 相对于来说是弱于同行业里面的红河科技
[02:44] 跟国际复材这一块的
[02:47] 但是同样的
[02:48] 那这一次他的调整幅度
[02:51] 也是相比其他的要小一点
[02:55] 那就会有粉丝朋友问吴姐
[02:58] 这一次中国巨石大概能反弹到哪里了
[03:02] 无解
[03:03] 说实在的
[03:04] 针对于现在的这种行情来说
[03:07] 看不到一个比较高的位置
[03:10] 也就是周二的那个高点47元附近左右吧
[03:16] 原因有以下几点
[03:18] 第一个就是市场的成交量不足
[03:22] 第二个就是现在的创业板指数反弹周期
[03:26] 第三个了
[03:27] 就是现在市场的一个现状来说
[03:31] 做多的意愿没有那么强烈
[03:34] 很多的大资金都在选择观望
[03:37] 除非成交量能放在3万亿左右
[03:41] 但是好像又不太实现
[03:44] 现在这个阶段就跟周五视频里面
[03:49] 评论区有宝子们在说
[03:51] 这个位置能不能买一支中线投资
[03:55] 能不能说说简单的理由
[03:58] 吴姐也是为了让更多的宝子们
[04:02] 不要把这8月份辛辛苦苦挣的一点
[04:06] 到时候又做中线投资全部亏回去
[04:10] 吴姐在这里呢
[04:11] 就跟宝子们聊聊我自己的一个观点哈
[04:17] 来我们一起来聊聊创业板的指数
[04:20] 跟吴姐一样
[04:22] 基本上基于关注科技的朋友都知道
[04:26] 创业板指数相比而言要比大盘更有关联性
[04:31] 当然只是说针对于科技的品种来说
[04:35] 首先从创业板的指数来讲
[04:38] 7月逢从最高点438敌
[04:42] 一直跌到7月30号的3158
[04:46] 一共是跌了1200点左右
[04:49] 那么对于咱们大A来讲
[04:52] 不可能走出来跟人家美股一样的一口气
[04:57] 直接干到新高
[04:58] 好像也不太现实哈
[05:01] 那从这一次8月初开始反弹来说
[05:06] 只能说是一个叫超跌反弹
[05:09] 从超跌反弹的经验来讲
[05:12] 一般是20一个交易日左右
[05:15] 这是无解找出来的
[05:18] 市场的规律
[05:19] 从目前走势来说
[05:22] 已经是反弹的16个交易日
[05:25] 也就是说还差五个交易日左右的反弹
[05:29] 所以从创业板指数来讲
[05:32] 下周初可以继续的看反弹
[05:35] 反弹到哪里呢
[05:37] 估计也就是周二的那个高点附近
[05:41] 3750左右好
[05:44] 那回到我们手上的个股来说
[05:47] 大部分科技的个股
[05:49] 也就是到周一周二的那个高点
[05:53] 吴姐就认为这一次的反弹也就差不多了
[05:58] 然后估计就开始震荡下跌
[06:01] 一直大概会走出来一个双底的结构
[06:05] 就是横盘震荡的调整
[06:09] 话再说回来
[06:10] 这也是吴姐认为
[06:12] 中国巨石这一次也就能反弹到47元附近的
[06:18] 一个主要的原因
[06:20] 就在这里
[06:22] 同样的听完无解观点的朋友也可以去看看
[06:27] 我们手中的科技标的大概能反弹到哪里
[06:31] 这一次
[06:33] 这也就是吴姐认为现在这个位置
[06:37] 不建议保持在这个位置去
[06:41] 在有研新材跟华正新材都不选的原因就在这里
[06:47] 不知道宝子们理解了没
[06:49] 今天吴姐这期视频是否对大家有所帮助了
[06:54] 在评论区里面给吴姐反馈一下
[06:59] 第二个消息就是关于功率半导体涨价
[07:03] 看看周一呃
[07:05] 司南威给我们的一个反馈就知道了
[07:09] 其他的暂时无解
[07:11] 就是说不需要去看
[07:13] 主要的去看一下这个司南威
[07:16] 民间市场给他的一个反馈
[07:19] 当然无解分析的不管是对与错
[07:23] 都需要市场来决定的
[07:26] 无解只是说通过我自己在这个市场上面
[07:30] 摸索出来的规律
[07:32] 给宝子们做一个分享
[07:34] 认可无解观点的朋友可以点赞投币支持一下
[07:39] 谢谢洛
[07:40] 不过这上面所有的观点都是无解的
[07:44] 个人观点仅供参考
[07:47] 盈亏自负
[07:49] 下期视频我们不见不散
