# 主力高度控盘：士兰微涨停 功率半导体+IDM模式+U型反转 20260822周六
UP: 波波大帅2025  时长: 08:23  发布: 2026-08-22  BV: BV1Up8m6oEFy
轨: 中文(ai-zh, AI)  版本来源: external
[00:02] 大家好
[00:03] 我们现在看到的是这个士兰微深蓝威
[00:06] 这个票我们之前有参与过啊
[00:08] 当时在这个压力线这个位置啊
[00:12] 然后参与这个士兰微单之后进行调整
[00:15] 调整之后
[00:16] 这个士兰微才啊
[00:18] 在这个6月份这个科技的高潮的时候啊
[00:24] 涨了这里从32块钱涨到57是吧
[00:28] 实际上是啊
[00:30] 70多个点也将正快翻倍是吧
[00:33] 但是没有翻倍啊
[00:34] 然后那这个深蓝维
[00:36] 就碰上了这个科技概念个股的一个调整呃
[00:40] 57块钱
[00:41] 我们看到他调整这一波调整的比较深
[00:44] 达到了这个二十七二十八啊
[00:46] 将近-50个点的这个回调呃
[00:49] 这个个股本身是有比较多的这个利好的啊
[00:54] 我们看到周五是35块八毛九呃
[00:57] 然后这个个股的股本也比较大
[00:59] 16个亿啊
[01:01] 16个亿
[01:01] 那么这个股是将近500多亿的
[01:04] 这个市值总成交金额是27亿
[01:07] 资金是股票的灵魂
[01:09] 只做成交金额超十个亿的个股啊
[01:12] 我们反复的强调
[01:13] 为什么这个成交金额比较大啊
[01:16] 我们看到这个周四的时候
[01:18] 这个啊士兰微是有一个将近跌停的
[01:23] 这个走位是吧啊
[01:24] 但是周五他又反包上去
[01:26] 就说你选的这个个股
[01:28] 比如说这种位置买进去啊
[01:30] 你就碰到啊
[01:32] 确实有概念有资金
[01:35] 但是他出现了意外
[01:36] 他才能够反包啊
[01:38] 就说有概念的个股
[01:40] 他才有这个反包的这个能力
[01:42] 否则的话拿这个股票是非常的痛苦啊
[01:45] 因为这个士兰微啊
[01:47] 它并不是正宗的这个半导体是吧
[01:49] 它上涨的时候到这个科技的尾声
[01:53] 6月份下旬才开始上涨啊
[01:56] 跌的时候我们看到12345
[01:59] 这里一个大的阴线下跌是吧
[02:01] 没什么抵抗力
[02:03] 然后接着下旬又再一次的
[02:06] 把这个反弹给全部抹掉啊
[02:09] 所以啊这个股啊
[02:11] 这也是我们为什么说做U型反转
[02:13] 你一定要做到第一点
[02:15] 你不做到低点是吧
[02:17] 这个个股够不是所有的个股都优胜反价
[02:19] 马上优上去
[02:20] 它会有一些变形
[02:22] 因为什么压力大是吧
[02:24] 筹码这个盘子大的个股更难形成统一是吧啊
[02:30] 所以说主力在这里有一个洗盘的一个动作
[02:33] 包括他历史上也有很多啊
[02:35] 涨涨涨洗盘一大阴线
[02:38] 这里跌停
[02:39] 这里有一个大的阴线是吧
[02:41] 大的阴线并没有说明这个个股就没有行情了啊
[02:45] 而且是直线上涨啊
[02:47] 70多个点是吧
[02:48] 我们看到这个
[02:49] 接下来这个如果是士兰微
[02:51] 直接上了这个50块钱
[02:52] 一点也不奇怪是吧
[02:54] 主力就是要让你难受是吧
[02:56] 要适当的洗盘啊
[02:57] 不然的话后续拉盘的时候抛压太大啊
[03:00] 没办法做盘
[03:02] 我们看到这个士兰微的这个子宫量柱非常的大
[03:06] 是吧啊
[03:06] 这里不断的拉升
[03:08] 要形成一个U型反转的基底啊
[03:10] 当时我们也关注了这个
[03:12] 但是呃考虑之前它上涨慢是吧
[03:15] 我没有立即去做这个士兰威
[03:17] 确实是他的这个反弹不算特别的好是吧
[03:20] 哪怕你最低点搞到啊
[03:22] 这个深达威这里也才30多个点的这个反弹啊
[03:26] 远比做其他的个股啊更好一些是吧
[03:30] 我们看到这个史莱威的一个表现
[03:32] 但这个士兰微去触碰这个中心线是吧
[03:36] 也就是接下来这个啊主力啊
[03:39] 如果说这个盘面有行情是吧
[03:41] 有可能会稍微有一些表现
[03:43] 我们看到这个士兰微的这个呃王牌尺码分布啊
[03:47] 这里是站站上重视线
[03:50] 我们说了
[03:50] 在中期线买是好是吧
[03:52] 但是前提你要拉得住
[03:54] 你拉不住的话是吧啊因为你如果买的高
[03:57] 比如说在这个压力位买洗牌
[03:59] 你走不走还是不走是吧
[04:00] 你拿得住诶
[04:02] 就得洗一个礼拜
[04:03] 你走还是不走
[04:04] 再跌一个跌停
[04:05] 你走还是不走是吧
[04:06] 小亏啊
[04:08] 所以说做股票啊
[04:10] 我们要看到这个个股的关键的压力位是在哪里
[04:12] 32块钱是吧
[04:13] 你在32块钱下方买
[04:15] 不要经受市场的考验
[04:17] 我们可以看到这里站上注视线哎
[04:20] 然后这个士兰微有可能的一个走位
[04:23] 还要稍微横盘一下
[04:25] 因为这个个股还没有形成
[04:27] 非常啊也这个非常猛烈的这个反弹
[04:31] 我们看到这个士兰微的一个嘶啊
[04:34] 这个子分量周全景图是吧
[04:37] 就是说这个个股啊这里是急跌是吧
[04:40] 整个个股又洗到这个年限的复制是吧
[04:43] 就是在年线下方买这个士兰微啊
[04:46] 是一个买点
[04:47] 然后拿住是吧
[04:48] 但是他也是不断的震荡
[04:50] 不断的考验
[04:51] 所以说选股要选到相对龙头的个股啊
[04:55] 那么才能更好
[04:56] 我们看到个股强于大盘
[04:58] 然后原版主图MACD在零轴线之上
[05:01] 也确实是有资金
[05:03] 包括近几天我们看到这是周一
[05:05] 周一成交27亿
[05:07] 二十四十一个亿
[05:08] 然后是70个亿是吧啊
[05:10] 又洗一天50个亿啊
[05:13] 又27个亿的一个马上就反包了是吧
[05:16] 为为什么27个亿反包啊
[05:17] 就是因为什么主力是这边有进仓是吧
[05:20] 他没有必要再去啊
[05:22] 大的这个资金是吧啊
[05:24] 所以说我们看到这个额成交量方面是非常好的
[05:27] 就是说这个资金在这里活跃
[05:29] 从筹码上看啊
[05:31] 低位这里是吧
[05:32] 主力也是吸到了非常多的这个筹码
[05:35] 我们看到非常肉眼可见的是吧
[05:37] 特别是这一天啊
[05:39] 主力咬合的这个筹码是非常多啊
[05:43] 然后又洗一天啊
[05:45] 这两天拿了非常多的一个筹码
[05:47] 然后我们看到上涨停反而是什么
[05:50] 没有太多的量啊
[05:51] 就是说把很多的这个呃获利盘是下出来了的啊
[05:56] 但是主力比如说要做这个盘啊
[05:59] 决心更大是吧
[06:00] 你你敢卖他敢买啊
[06:02] 这是从分析盘口就可以看出来啊
[06:05] 以及总体的成交金金额啊
[06:08] 所以我们可以看到这个士兰微
[06:09] 它是有可能走优胜反转啊
[06:12] 我们可以看到这是值高点57块钱
[06:16] 当然他也是这样子啊
[06:18] 有中间有反弹的这个下行是吧
[06:21] 不断的下行
[06:23] 然后形成这种上涨
[06:25] 这个地方是不断的震荡震荡
[06:28] 而且是非常的大是吧
[06:29] 所以说这个啊
[06:31] 西兰威他接下来有可能会这样子走啊
[06:34] 然后慢慢的向上或者是这样子是吧
[06:37] 也有可能会延续着这个线极简样啊
[06:41] 上去是吧啊
[06:42] 这个优胜反转有不同的这个处理啊
[06:45] 我们说了优胜反转
[06:46] 他有的时候是非常标准的这个优势反转呃
[06:50] 但是士兰微我们可以看到它因为什么盘子较大
[06:53] 它的这个下跌是吧
[06:55] 下跌到位之后啊
[06:56] 有一个回抽延后上涨
[06:58] 然后不断的震荡啊
[07:01] 打到这个位置啊
[07:02] 然后他的这个优生反转是吧
[07:04] 他没有直接U上去
