# 面试官问：如何评估RAG系统的效果？
UP: AI深度幻觉  时长: 12:23  发布: 2026-04-03  BV: BV1b69gB5E3h
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 今天这道面试题是如何评估RAG系统的效果
[00:04] 这是一道高频题
[00:05] 而且是一道很容易答的太浅的题
[00:08] 很多人上来就说用RAGAS打个分就行了
[00:12] 但面试官真正想听的远不止这些
[00:15] 没错
[00:16] 这题我面试的时候就被问过
[00:18] 当时我说了faithfulness和answer relevance
[00:21] 面试官追问了一句
[00:23] 这些分数是谁打的
[00:25] 我一下就卡住了
[00:27] 这个追问非常关键
[00:28] 我们后面会专门讲
[00:30] 先从最基本的开始
[00:31] 为什么评估RAG不能用传统的NRP指标
[00:35] 比如b l u rage这些
[00:38] 这些不是做机器翻译和文本摘要用的吗
[00:41] 为什么不能用三个原因
[00:44] 第一它们只比较字面重叠
[00:46] 不懂语义
[00:47] RAG的正确答案可以有很多种说法
[00:50] 两个同样正确的答案可能几乎没有词汇重叠
[00:53] BLEU1算分就是零
[00:55] 第二他们完全无视上下文
[00:58] BLEU只看输出跟参考答案像不像
[01:01] 根本不管生成内容是不是从检索到的文档里来的
[01:04] 第三也是最致命的
[01:06] 他们无法检测幻觉
[01:08] rag最核心的风险就是看起来有据可依
[01:11] 但实际在胡说
[01:12] 传统指标对此毫无感知
[01:15] 所以传统指标只能测表面
[01:17] 测不了RAG真正需要的东西
[01:20] 忠实度和上下文利用率
[01:22] 那有专门为RAG设计的指标吗
[01:25] 对目前业界最广泛使用的是ragas框架定义的三个核心维度
[01:31] Faithfulness
[01:32] 忠实度
[01:33] Answer relevance
[01:35] 答案相关性
[01:36] Context relevance
[01:37] 上下文相关性
[01:39] 用大白话说
[01:40] 就是有没有胡说
[01:42] 有没有答对
[01:43] 有没有找对
[01:44] 这三个怎么测
[01:45] 需要人工准备标准答案吗
[01:48] 这是ragas最大的卖点
[01:50] 三个都不需要人工标准
[01:52] 答案全部由LLM自动完成
[01:54] 我一个一个讲
[01:56] 先说faithfulness
[01:58] 忠实度输入是问题检索到的文档
[02:01] 还有模型生成的答案
[02:03] 第一步让LLM把答案拆成一条条独立声明
[02:07] 比如答案是诺兰执导了奥本海默基里安墨菲主演
[02:11] 那就拆成两条声明
[02:13] 第二步逐条拿去跟检索文档对比
[02:16] 这条声明有没有被文档支持
[02:18] 第三步算分被支持的声明数除以总声明数
[02:23] 等一下
[02:24] 如果检索到的文档本身就是错的呢
[02:27] 答案忠实的复述了错误信息
[02:29] faithfulness是不是还是满分
[02:32] 没错
[02:33] 这正是faithfulness的局限
[02:35] 他只管答案有没有从文档里来
[02:37] 不管文档本身对不对
[02:39] 文档写着地球是平的
[02:41] 答案忠实复述了faithfulness照样1.0
[02:45] 所以faithfulness不等于正确性
[02:47] 它只测忠实度
[02:48] 不测真实性
[02:50] 那answer relevance呢总不能也是靠声明拆解吧
[02:55] answer relevance的思路很巧妙
[02:57] 它不需要检索文档
[02:58] 只需要原始问题和深沉的答案
[03:01] 测法是让LLM看着答案反向猜这个答案在回答什么问题
[03:06] 生成好几个问题
[03:08] 然后用embedding模型算这些反向问题跟原始问题的余弦相似度取平均
[03:13] 如果答非所问
[03:14] 比如你问发射日期
[03:16] 他答这个火箭对天气研究很重要
[03:19] 反向生成的问题就会跟原问题差很远
[03:22] 分就低
[03:23] 巧妙不直接判断对错
[03:26] 而是用反向生成来间接度量
[03:29] 那context relevance呢这个评的是检索器的质量
[03:33] context relevance更简单
[03:36] 输入是原始问题和检索到的文档
[03:39] 甚至不看模型答案
[03:40] 让LLM从文档里挑出对回答问题真正有用的句子
[03:45] 然后算比例
[03:46] 有用的句子数除以文档总句子数
[03:49] 检索到的内容越聚焦分越高
[03:52] 如果你检索了一大堆不相关的东西
[03:54] 塞进上下文
[03:55] 即使最终答案碰巧对了
[03:57] 这个分也会很低
[03:59] 说明你的检索器在浪费
[04:01] token好三个指标我懂了
[04:04] 但这三个全是LLM自己在打分
[04:07] LLM评LLM这不是自己给自己判卷吗
[04:11] 哼哼就是你面试时被追问的那个点
[04:14] 哼这确实是目前RAG评估最大的争议
[04:18] NVIDIA去年做了一个大规模研究
[04:20] 让54个不同的LLM给将近2000个RAG输出打分
[04:24] 每个样本配三位人类标注者做对照
[04:27] 总共将近6000条标注
[04:29] 结果是54个LLM里有36个跟人类的相关性超过0.8
[04:34] 不过论文进一步分析后发现
[04:36] 真正达到人类水平判断一致性的只有27个
[04:40] 高相关不等于高一致
[04:41] 当时相关性最高的是拉玛三七十B达到了0.88
[04:45] 但论文指出它属于超一致性类型
[04:48] 一致性甚至高于人类标注者之间
[04:51] 可能在过度简化细微判断
[04:53] 注意这是去年的数据
[04:55] 测的是当时的模型
[04:56] 不过结论的方向性多数主流LLM跟人类判断大方向一致
[05:01] 应该还是成立的
[05:03] 但是但是有三个已知偏差
[05:06] 第一位置偏差
[05:09] 把两个答案的顺序换一下
[05:10] 相当比例的判断会直接反转
[05:13] 第二冗长偏差更长的答案更容易被偏好
[05:17] 不管内容质量
[05:18] 第三自我偏好
[05:20] 2025年一项研究专门测了九个模型
[05:23] 包括当时的GPT4O和cloud3.5sonnet
[05:27] 发现部分模型会系统性的给自己的输出打更高分
[05:31] g p t co和cloud3.5sonnet就是典型
[05:34] 虽然现在模型已经迭代到更新版本了
[05:37] 但这个问题的结构性原因没有消失
[05:39] 更有意思的是
[05:40] 他们还有家族偏好cloud系列的裁判倾向
[05:44] 给其他cloud模型也打高分
[05:45] GPT系列同理
[05:47] 所以选裁判时最好用跟被评估模型不同家族的
[05:51] 那有什么办法缓解吗
[05:53] 还是说只能这么将就不是将就是在约束条件下的最优解
[05:59] 传统指标评不了语义
[06:01] 人工评不过来量
[06:02] 所以LLM当裁判加上偏差缓解加上人工校准是目前的标准
[06:08] 做法具体有三类方案
[06:11] 第一类是工程手段
[06:13] ab顺序各评一次
[06:14] 取平均解决位置偏差
[06:17] 评分标准里加简洁性维度解决冗长偏差
[06:20] 用不同模型家族当裁判解决自我偏好
[06:23] 比如生成用GPT4评估
[06:25] 用cloud
[06:26] 第二类是微调专用小模型
[06:29] 当裁判
[06:29] stanford us就是这个思路
[06:32] 用DBA做裁判
[06:34] 第三类是人机混合
[06:37] 大部分样本自动屏
[06:38] 高风险和边界case交人工审核好指标讲清楚了
[06:44] 但面试官可能还会问
[06:45] 实际工程中你怎么做评估
[06:47] 不是说用哪个框架
[06:49] 而是具体的测试流程
[06:51] 这就是答题的第二个层次了
[06:53] 核心方法论是三层评估
[06:55] 先分开评retriever和generator
[06:58] 再端到端平
[06:59] 原因很简单
[07:00] RAG出了问题
[07:02] 可能是检索的错
[07:03] 也可能是深沉的错
[07:05] 如果只看最终结果
[07:06] 你根本不知道问题出在哪
[07:08] 黄金测试集
[07:10] 这不就又回到需要人工标注了吗
[07:12] 刚才不是说ragas不需要人工好问题
[07:16] REUS的三个指标确实不需要人工标注
[07:20] 但分层测试需要
[07:22] 尤其是测retrieve的时候
[07:24] 你得知道哪些文档是正确的
[07:26] 才能算precision和recall
[07:28] 所以黄金测试集就是一组你已经知道正确答案的数据
[07:31] 每条包含三个东西
[07:33] 用户问题对应的正确文档是哪些
[07:36] 以及标准答案
[07:37] 一般需要20~50条
