# 每天了解一家上市公司-士兰微
UP: 星寻遐蝶  时长: 04:12  发布: 2026-08-21  BV: BV1Yz8T69E2B
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 每天了解一家上市公司
[00:02] 旭蓝威
[00:03] 600460
[00:04] 国内稀缺民营功率半导体IM龙头
[00:07] 达通芯片设计
[00:09] 晶圆制造封测全链条深度秀
[00:11] E新能源AI电源功率器件需求爆发
[00:14] 一公司概况
[00:16] 杭州西兰微电子1997年成立
[00:19] 2003年橡胶所
[00:20] 相信国内小有的GAAM一体化半导体企业
[00:24] 自由62/8英寸硅晶圆产线
[00:27] 同时布局碳化硅第三代半导体产线
[00:30] 主要业务功率分离器件
[00:32] mos feat i d t模拟集成电路
[00:35] 电源管理
[00:36] m sub m模块
[00:37] MS传感器
[00:38] led光电芯片
[00:40] 下游覆盖新能源车
[00:41] 光伏储能
[00:42] AI服务器
[00:43] 电源工业工控家电等赛道
[00:46] 2025全年营销130.52亿元
[00:49] 2026上半年账面净利润大幅增长
[00:52] 但其中一部分来自持有的其他项系公司股票
[00:56] 公允价即浮盈扣非主业利润增速相对平缓
[01:00] 需要区分账面收益与主业经营计量
[01:02] I近期行情解析
[01:04] 半导体板块轮动
[01:06] 近期股价活跃度很高
[01:08] 换手率放大
[01:09] 骨性弹性大
[01:10] 市场交易逻辑
[01:12] 功率器件涨价
[01:13] AI服务器电源对功率芯片需求提升
[01:17] 碳化硅车规器件的未来成长预期
[01:19] 当前估值处于较高位置
[01:21] 股价已经充分反映行业景气预期
[01:24] 半导体属于抢救期行业行情秀
[01:27] 下游需求
[01:28] 海外竞品价格产能释放多重扰动
[01:31] 波动幅度大
[01:32] 三核心投资看点
[01:34] 1DEM一体化模式系核心壁垒
[01:37] 不同于纯设计公司自由禁言工厂设计
[01:40] 制造工艺协同行业下行周期可以快速扩产
[01:44] 调价下行周期可以调节产线加动力
[01:47] 控制成本
[01:48] 不受外部代工厂产能约束
[01:50] 家电ABM模块国内市占率领先
[01:53] 二多高景气赛道同时覆盖新能源车
[01:57] 光伏储能带来车规级i b t mos fat
[02:00] 增量AI服务器电源拉动高压功率器件需求
[02:04] 同时布局碳化硅seek第三代半导体
[02:07] 面向未来新能源汽车市场打开长期成长空间
[02:11] 三产能持续见效
[02:13] 厦门12英寸硅基产线
[02:15] 碳化硅产线持续爬坡
[02:17] 产能逐步释放
[02:18] 为后续业务放量打下硬件基础
[02:21] 下游客户分散
[02:22] 单一行业波动对整体冲击有所缓冲
[02:25] 四国产替代逻辑
[02:28] 功率半导体大量市场份额角没在海外大厂手中
[02:32] 国内工业汽车领域国产替代空间广阔
[02:35] 公司作为本土IM龙头
[02:37] 充分受益
[02:38] 四客观风险提醒
[02:40] 一半导体周期下行风险
[02:42] 功率半导体具备抢救期性
[02:45] 如果后续行业产能过剩
[02:47] 产品价格回落
[02:48] 毛利率会承压
[02:49] 二利润结构风险
[02:52] 部分利润来自金融资产
[02:53] 浮盈并非主营业务创造
[02:56] 浮银会随股价波动不具备可持续性
[02:59] 三车规碳化硅业务落地不及预期
[03:03] 第三代半导体车规产品认证周期长
[03:06] 客户导入进度存在不确定性
[03:08] 四估计与股价波动风险互系主板
[03:12] 但半导体板块情绪波动剧烈
[03:14] 估值偏高
[03:16] 一旦近期预期弱化
[03:17] 存在回调风险
[03:19] 五综合小结
[03:20] 西兰威胁A股稀缺的民营AAM功率半导体平台
[03:24] 硬件底子加血
[03:26] 同时采用新能源
[03:27] AI电源两大赛道
[03:29] 但要分清账面投资收益和主业利润
[03:31] 属于周期成长股
[03:33] 跟踪重点
[03:34] 公立器件产品报价12英寸与碳化硅产线架
[03:38] 动力车硅产品客户导入进度
[03:41] 扣非净利润变化
[03:42] 不屑和盲目追高
[03:44] 公司logo标记S1浪希蓝VSL图形商标
[03:48] 免责声明
[03:49] 本文全部内容基于公开财报公告
[03:52] 公开信息整理
[03:53] 仅作为学习交流
[03:55] 不构成任何买入卖出投资建议
[03:57] 半导体行业周期性极强
[03:59] 技术迭代快
[04:01] 下游需求
[04:02] 行业竞争
[04:03] 海外行业变化均会深刻影响公司经营与股价
[04:06] 所有投资决策请自行独立判断
[04:09] 投资风险自担
