# 1w满仓打满，目标年前88w！只做马前炮！第44天：潜伏士兰微成功，继续潜伏新标贵研，周五收益9.92%！下周继续带粉抓龙头!
UP: 鹤隐淞涧  时长: 03:15  发布: 2026-08-21  BV: BV1cE8q6DE3Z
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 昨天赶水下加仓士兰微的家人
[00:03] 今天是不是吃到涨停大肉
[00:04] 大家好
[00:05] 我是鹤尹松健
[00:06] 欢迎所有支持贺哥的朋友来到我的复盘视频
[00:08] EW本金闯关挑战
[00:10] 今天是第43天
[00:12] 我们的目标只冲88万
[00:14] 专注短线龙头博弈
[00:16] 赫格的交易准则一直没变
[00:17] 行情才对
[00:18] 安心吃肉
[00:19] 方向做错果断离场
[00:21] 绝不嘴硬死扛
[00:22] 志同道合
[00:23] 想学好短线
[00:24] 跟上节奏的朋友
[00:26] 不妨留下来一起交流
[00:27] 今早迪士兰微有没有给各位带来超大惊喜
[00:30] 开盘直接强势封板
[00:32] 前天我提前分享过进场机会
[00:34] 昨天虽然跟随板块回调
[00:36] 但属于正常洗盘
[00:37] 昨天动态我完真讲过
[00:38] 坚守逻辑
[00:39] 信任贺哥
[00:40] 敢在水下加仓的家人
[00:42] 今天直接躺赢大肉
[00:43] 今天贺哥自己也在板上只赢了半仓
[00:46] 腾出仓位布局新机会
[00:47] 剩下半仓继续博弈
[00:49] 下周溢价
[00:50] 这里和大家讲清楚
[00:51] 后续应对
[00:52] 下周如果低开走弱
[00:53] 连板预期直接落空
[00:55] 大家择机止盈
[00:56] 就算高开
[00:57] 但迟迟封不住板
[00:58] 也建议分批冲高落袋
[01:00] 记住落袋为安
[01:01] 只要盈利离场就不算错
[01:03] 不必纠结卖飞
[01:04] 后面贺哥还会持续带大家捕捉更多涨停机会
[01:07] 今天新布局标的贵研铂业
[01:09] 个股已经出现止跌企稳信号
[01:11] 同时中报落地业绩同比上行
[01:14] 直接避开暴雷风险
[01:15] 基本面上没问题
[01:16] 哪只安心
[01:17] 作为国内博足金属全产业链龙头
[01:19] 他的靶材建合金丝服务芯片制造封装
[01:22] 博朗和晶露板磷化音光芯片
[01:24] 温控材料
[01:25] 都是AI高速电子布光模块的刚需耗材
[01:28] 牢牢绑定AI算力上游
[01:30] 完美契合本轮半导体涨价主线
[01:33] 业绩题材逻辑双在线
[01:35] 技术面企稳
[01:36] 静待下周主力发力
[01:38] 短线守住21元
[01:39] 关键支撑不破就继续看修复行情
[01:42] 信任赫格
[01:43] 我永远不会辜负大家
[01:44] 就像昨天分享的旭光电子
[01:46] 前一日冲击涨停
[01:47] 没能封死
[01:48] 今天再度发力
[01:49] 强势封板
[01:50] 此前和士兰微同步分享的赤峰黄金
[01:53] 走势同样亮眼
[01:54] 昨日成功涨停
[01:55] 今天继续大涨七个点
[01:56] 踩准节奏的家人
[01:58] 短短三天就能收获17个点以上利润
[02:00] 还有之前分享的汉森制药
[02:02] 如今走出连板行情
[02:04] 成为连板龙头
[02:05] 7号分享至今半个月涨幅达到45%
[02:08] 能够耐心拿住的朋友稳稳吃下一大波大肉选择
[02:12] 相信贺哥的家人
[02:13] 我定不负这份信任
[02:14] 给予我一份信赖
[02:15] 我带你把握行情
[02:16] 收益从知乎一路跟过来的老家人心里都清楚
[02:20] 赫哥实力不靠空
[02:21] 谈体验分享抓到的涨停标的数不胜数
[02:24] 每一笔操作什么时候买
[02:25] 为什么买
[02:26] 什么时候卖
[02:27] 为什么建仓
[02:28] 次日应对策略
[02:29] 收盘复盘我全部公开拆解
[02:31] 毫无保留做大家短线路上的指明灯
[02:34] 不让关注我的朋友独自迷茫
[02:36] 只要关注鹤影松健的朋友
[02:37] 后续标的逻辑
[02:38] 买卖点位
[02:39] 盘中应对思路持续同步
[02:41] 犹如咱们一起分
[02:42] 绝不藏私
[02:43] 最后跟愿意一起走下去的兄弟说几句
[02:45] 掏心窝的话
[02:46] 我重新开始公开实盘
[02:48] 不是为了炫技
[02:49] 是真心想拉一把还在亏钱的朋友
[02:51] 股市这地方七亏二平一赚
[02:54] 每个稳定盈利的人
[02:55] 背后都踩着无数人的教训
[02:59] 所以更明白一个人扛有多难
[03:01] 现在我能帮一个是一个
[03:02] 这比自己多赚几个点
[03:04] 有意义的多
[03:05] 如果你想跟上这场一瓦到88瓦的极限跋涉
[03:08] 不需要你做什么大事
[03:09] 点个关注
[03:10] 给个赞
[03:11] 新来的朋友评论区扣两个字
[03:13] 同行往后我们一起同行
