# 士兰微VS扬杰科技：功率半导体双雄PK
UP: 硬科技公司投研局  时长: 07:20  发布: 2026-08-23  BV: BV17C8p6TEVf
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 抛开那些毫无意义的宏观废话吧
[00:03] 作为硬科技公司的首席战略官
[00:06] 今天我们要对这两家半导体玩家进行一次
[00:10] 冷酷透彻的穿透式审计
[00:13] 我不关心报告写得多漂亮
[00:15] 我只看底牌
[00:16] 到底谁在真正的造血
[00:19] 谁又在重资产负债的泥潭里苦苦挣扎
[00:22] 在这场生存压力测试里
[00:25] 我们将用最真实的数据刺穿账面上的所有伪装
[00:29] 先盯紧这个数字
[00:31] 3.99亿
[00:33] 这是士兰微交出的2025年归母净利润
[00:36] 你要知道啊
[00:37] 这可是个年营收高达130.5
[00:41] 2亿元的庞然大物啊
[00:43] 这么庞大的体量
[00:44] 在残酷的运营摩擦和恐怖的折旧压力下
[00:47] 最后竟然只榨出了这么点可怜的利润
[00:50] 那么反观杨姐科技呢
[00:52] 他们2025年的营收是71.30亿元
[00:56] 几乎只有士兰微的一半
[00:59] 但是你看看他们的归母净利润12.59亿元
[01:03] 足足是竞争对手的三倍多
[01:06] 这种盈利质量上的断层式碾压
[01:08] 究竟是怎么发生的呢
[01:11] 这是我们金簪的资产安全与变现能力审计清单
[01:15] 今天不谈虚的
[01:16] 就从资本回报
[01:18] 资产折旧
[01:19] 海外现金流移入八到研发水分和周期杠杆儿
[01:23] 第一部分
[01:24] 资本回报对决
[01:26] 在硬科技领域
[01:27] 资金的使用效率就是你唯一的生存通行证
[01:32] 当你把这两家公司的安全底线放在一起
[01:35] 做极限压力测试
[01:36] 结果非常刺眼
[01:38] 杨杰科技的经营现金流高达17.03亿元
[01:42] 直接超越了他的净利润
[01:44] 净利润更是达到了17.66%
[01:47] 这说明什么
[01:48] 这说明他的自我造血能力是极其强悍且真实的
[01:52] 而士兰微呢
[01:53] 净利润被严重挤压到了极其危险的
[01:56] 3.600分之
[01:57] 账面上还背着高达52.10
[01:59] 盘散的资产负债率
[02:01] 这种截然不同的财务底座
[02:03] 直接导致了资本回报率的云泥之别
[02:06] 杨杰科技靠着敏捷垂直封测
[02:09] 这种极其克制的资本运作
[02:11] 拿下了13.73帕的高加雀
[02:13] 嗷嗷I
[02:14] 而士兰微在巨额资本开支的重压下
[02:17] 短期的资本回报率被彻底窒息
[02:20] 可怜的只剩下了3.29%
[02:23] 第二部分资产折旧黑洞
[02:26] 让我们看看利润是如何被重资产一步步吞噬的
[02:31] 士兰微死磕的平台型IDM战略
[02:34] 导致他们在厦门杭州砸下了多条六英寸
[02:38] 八英寸甚至12英寸大尺寸晶圆线
[02:41] 这种重资产全制成的钱到晶圆打开支
[02:45] 换来的就是极其高昂的固定资产折旧报复
[02:49] 在工艺量产瓶颈没彻底解决
[02:52] 产能还没满载的爬坡期
[02:54] 这种巨额折旧对短期盈利的杀伤力
[02:58] 简直是毁灭性的
[02:59] 这种沉重的重资产拖累
[03:01] 直接把士兰微
