# 21日士兰微：主力抢筹建仓！后市或有大行情？
UP: 每天分享干货  时长: 02:35  发布: 2026-08-22  BV: BV1CL8q6QEna
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 各位股民朋友们
[00:01] 大家下午好
[00:02] 今天呢是8月21号
[00:05] 继续来给大家做股票的分析讲解
[00:07] 这节课来给大家回顾一下士兰微这个股票
[00:10] 前面的趋势也是已经得到了一个反转
[00:14] 对于呃近期的一个短期回调
[00:16] 大家平时是怎么样去判断
[00:19] 它洗盘还是出货的一个动作呢
[00:21] 大家可以看一下这个股票
[00:23] 整体智能辅助线的一个表现情况
[00:26] 智能辅助线是用来选股
[00:28] 选一个上升趋势的股票
[00:32] 大家可以看到智能辅助线黄线上穿红线
[00:35] 黄线它保持在红线上方
[00:38] 中线趋势走好的这个行情
[00:40] 股价呢容易反复拉升的
[00:43] 那相反的话黄线下穿红线就开始走下降趋势
[00:47] 下降趋势的过程中呢就不能参与了
[00:50] 那直到它近期趋势反转了
[00:53] 大家可以看到黄线已经上穿红线了
[00:56] 从8月12号这一天开始变成上升趋势的股票
[01:00] 之后呢
[01:00] 短线呢就开始进入一个回调
[01:02] 回调的过程中
[01:04] 大家发现黄线呢还是保持在红线上方的
[01:07] 说明中线趋势是没有问题
[01:09] 第二步呢来看一下资金的这个表现
[01:13] 特别是对于短线调整的时候
[01:15] 主力状态的一个啊
[01:17] 红色的这个网格状态是依然保持锁仓的
[01:21] 说明啊洗盘调整的一个行情
[01:24] 那我们来看到出现了有这个紫色的柱子
[01:27] 代表的是短线资金经常参与
[01:29] 当主力状态
[01:30] 这里面有多种主力金共同进场参与的时候
[01:34] 它就具备了这种爆发力的拉升行情
[01:36] 像前面给大家讲解的
[01:38] 做三色主力资金进场参与的一个股票
[01:41] 大家可以看一下
[01:43] 在上升趋势的过程中
[01:45] 主力状态有红黄紫三种
[01:47] 主力资金进场的时候
[01:49] 它就容易走出这种主升浪的这个拉升行情
[01:52] 目前的话大家可以看到
[01:53] 主力控盘还没有出现的情况下呢
[01:55] 主要以操作短线为主
[01:57] 大家要注意一个快进快出的一个节奏
[02:00] 来看一下捕捞季节是用来把握低吸高抛的
[02:04] 大家可以看捕捞季节
[02:05] 子线上传黄线
[02:07] 第一天代表的是金叉的DC进场的一个时机
[02:11] 直线保持在黄线上方阶段呢就耐心持股
[02:16] 大家也看
[02:17] 可以看到
[02:18] 周五这天
[02:18] 盘中呢也是再一次出现了金叉的反弹信号
[02:22] 接下来的话就多看子线保持在黄线上方阶段呢
[02:26] 就是耐心持股
[02:28] 以上的分析呢仅供参考
[02:29] 不构成任何的投资建议
[02:31] 股市有风险
[02:32] 操作需谨慎
