# 士兰微VS宏微科技：功率半导体双核PK
UP: 硬科技公司投研局  时长: 07:51  发布: 2026-08-23  BV: BV1Kx8e6EEKQ
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 各位好
[00:01] 直接进入今天的战略推演
[00:03] 我是你们的首席战略官
[00:05] 今天啊咱们不聊那些温情败卖的行业展望
[00:08] 也把买方研究员嘴里那些两家公司各有优势
[00:12] 大有可为的陈词滥调
[00:14] 先放一遍好吗
[00:15] 今天我们要做的是
[00:17] 对本土功率半导体领域的两个玩家
[00:20] 士兰微和宏伟科技
[00:21] 进行一场
[00:22] 彻头彻尾的零和博弈下的穿透式战略审计
[00:26] 我们要撕开那些花里胡哨的估值表象
[00:29] 用最冷酷的财务数据去审视他们最底层的安全
[00:33] 以及最关键的真实的自由现金流造血能力
[00:37] 咱们直接切入这场纯粹的数字暴力
[00:41] 看看这组营收体量对比
[00:43] 2025年
[00:44] 士兰微的营收干到了130.5
[00:47] 2亿元人民币
[00:48] 宏威科技呢13.48亿元
[00:50] 同比增长仅有可怜的1.23帕
[00:53] 发现了吗
[00:54] 这根本不是什么势均力敌的较量对吧
[00:56] 这完全是生存维度的降维打击
[00:59] 各位功率半导体是个什么行业
[01:01] 重资产强周期
[01:03] 这种将近十倍的绝对体量压制
[01:05] 直接决定了在行业寒冬里
[01:07] 谁有资本扛过价格战
[01:09] 谁又会在下一轮洗牌里直接出局
[01:12] 那么这种量级差距到底是怎么拉开的
[01:16] 答案就在底层商业模式上
[01:18] 士兰微
[01:19] 砸出的是一座高建造壁垒的重资产护城河
[01:23] 人家手里攥着568乃至12英寸的全产业
[01:27] IDM产线
[01:28] 是的
[01:29] 前期资本开支确实大
[01:30] 但你算过账没有
[01:32] 一旦跨过折旧高峰期
[01:33] 产线一满载
[01:35] 单颗芯片的边际制造成本就会被极度稀释
[01:38] 反过来咱们看看宏威科技所谓的FBI轻资产模式
[01:43] 说难听点就是个模块组装厂
[01:45] 晶圆制造这个最核心的环节完全依赖外部改工
[01:49] 把核心生产资料交到别人手里
[01:51] 这种模式在周期波动面前
[01:53] 可以说是脆弱的不堪一击
[01:56] 我们来严厉质询一下宏微科技
[01:58] 这种fb light模式的战略窘境
[02:01] 现在行业里价格战打得这么凶
[02:03] 一个偏轻资产的模块组中商
[02:06] 你拿什么活
[02:07] 网上有看
[02:08] 你必须给金人代工厂支付固定的制造利润对吧
[02:12] 人家代工厂凭什么替你承担降价损失
[02:15] 绝不可能往下游看呢
[02:17] 车企工业客户正挥舞着大刀疯狂压价
[02:20] 上游成本是锁死的
[02:22] 下游价格又在坍塌
[02:24] 宏微科技这种夹在中间的封装企业
[02:27] 实际上已经被逼进了一个双向挤压的战略死局
[02:30] 利润空间正在被无情碾碎
[02:33] 各位记住一点
[02:35] 真正的议价权从来不靠单一器件
[02:38] 而是靠系统级的不可替代性
[02:41] 士兰微是怎么打的
[02:43] MCU加上IPM加上模拟电路
[02:46] 再加上mam sensor
[02:48] 直接给你甩出一套全案交钥匙方案
[02:51] 单单在白链市场
[02:52] 他们IPM模块的年出货量就超过了2.5亿颗
[02:56] 想想看
[02:57] 当客户不仅必须用你的公路器件
[03:00] 还得搭配你的主控和驱动芯片时
[03:02] 你卖的就不再是零件了
[03:04] 而是一套完整的系统生态
[03:06] 这种全产业的供给能力
[03:08] 给士兰微构筑了极其强悍的供应链粘性
[03:11] 和绝对的定价权
[03:13] 回过头来看看宏微科技
[03:15] 他们的核心产品是什么
[03:17] 极其单一的IGBT或者CSIC功率模块
[03:21] 这里必须给出一个冷酷的判决
[03:24] 就像这句话说的
[03:25] 缺乏周边套per协同的单一器件
[03:28] 在公链中将彻底丧失议价圈
[03:31] 你没有自己配套的控制和驱动芯片
[03:34] 那你就是一个随时可以被替换掉的被动供应商
[03:38] 在那些强势的车企和大型终端
[03:40] 客户的采购目录里
