# 士兰微业绩增速难以支撑130倍的市盈率
UP: 涂山资本-收徒中  时长: 08:47  发布: 2026-08-23  BV: BV18A8U68EwJ
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 大家好
[00:01] 今天我们来讲士兰微
[00:03] 这名字有点别致啊
[00:06] 半导体猛将人人取的名字
[00:09] 就看这个姜老师的吧
[00:12] 当波段掘金
[00:13] 士兰微是国内功率半导体IDM龙头
[00:17] 主业就是设计制造和封装功率半导体
[00:21] 我们先听他讲讲
[00:23] 然后我们一边统计数据边听啊
[00:25] 第七节
[00:26] 通俗点说
[00:27] 所有需要电能转换和控制的地方
[00:30] 从空调冰箱到新能源汽车
[00:33] 光伏逆变器
[00:34] AI服务器
[00:35] 电源都离不开它的芯片
[00:38] 沙威最近为什么备受关注
[00:40] 主要是因为核心产能落地
[00:43] 产品结构升级与全球功率半导体供需紧
[00:47] 主要是刚才看到一个概念
[00:48] 叫做含科量
[00:50] 科技含量高的
[00:51] 那么就例如炒作热点
[00:52] 比如说我们国家的政策大风向
[00:56] 也是要鼓励这种科技呀
[00:57] 含科量呵呵是一个特别的指标
[01:00] 当然这个是我们价值投资这边
[01:06] 不倡导的一个方向啊
[01:07] 这种操作平衡三重因素形成正向驱动
[01:12] IDM一体化优势在行业周期上行中持续兑现
[01:16] 具体来看
[01:17] 6月13日
[01:18] 公司公告
[01:19] 总投资42.1亿元
[01:20] 的厦门八英寸碳化硅功率器件产线项目
[01:24] 资本金全额到位
[01:25] 正式进入实质性建设阶段
[01:27] 将大幅扩充第三代半导体产能
[01:30] 6月12日披露
[01:31] 现有八英寸12英寸硅基产线均满载运行
[01:36] 第四代碳化硅芯片与模块已实现批量交付
[01:39] 车规级IGBT等高附加值产品加速上量
[01:43] 而且6月9日至11日
[01:46] 公司携全系功率产品亮相德国PCIM欧洲展会
[01:50] 持续拓展海外高端客户群体
[01:53] 另外行业与国际层面
[01:55] 6月以来
[01:56] 英菲林
[01:57] 意法半导体等国际龙头先后宣布
[02:04] 涨幅10%至20%
[02:06] 叠加台积电
[02:07] 三星持续缩减八英寸成熟制程产能
[02:11] 全球功率芯片供给刚性收缩
[02:14] 同时AI服务器
[02:15] 新能源车与储能需求持续爆发
[02:18] 单台设备功率器件用量大幅提升
[02:21] 供需缺口持续扩大
[02:24] 士兰微凭借自主IDM产能
[02:26] 既承接行业涨价与需求增长红利
[02:30] 也加速推进高端领域国产替代
[02:32] 长期竞争力持续夯实
[02:35] 为什么在这么多半导体公司里讲
[02:37] 士兰微
[02:37] 因为它在功率半导体这个赛道里
[02:40] 是国内绝对的龙头
[02:42] 2024年
[02:43] 公司以3.3%的全球市占率
[02:45] 位居全球第六
[02:46] 国内同行第一
[02:47] 在2024年
[02:49] 中国半导体企业100强中位列第八
[02:52] 公司产品线广度对标全球龙头
[02:54] 英菲林
[02:55] 是国内少有的
[02:56] 同时覆盖硅基IGBTMOSFEAT
[03:00] 第三代半导体碳化硅
[03:02] 氮化钾
[03:03] 以及12英寸高端模拟芯片的平台型IDM企业
[03:07] 他凭什么能做到这个位置
[03:09] 核心是IDM模式的稀缺性和全产业链壁垒
[03:13] 士兰微是国内最早建立自有产线的
[03:15] 芯片设计公司之一
[03:17] 目前拥有五寸六寸八寸12寸全尺寸硅基产线
[03:22] 2025年全部满负荷运转
[03:25] 5/6寸线产出277万平
[03:28] 8/12寸线产出82万片
[03:30] 12寸县产出63.74万
[03:33] 平均实现满产
[03:34] 这种从设计到制造到封装
[03:37] 全链条自主可控的能力
[03:39] 国内找不出第二家
[03:40] 而且公司研发投入持续加码
[03:43] 2025年研发支出11.72亿元
[03:47] 研发人员4475人
[03:49] 占员工总数40%
[03:51] 财务数据方面
[03:52] 2025年公司营收130.52亿元
[03:56] 同比增长16.32%
[03:58] 归母净利润3.99亿元
[04:00] 同比大增81.27%
[04:03] 其中汽车和光伏领域的
[04:04] IGBT及碳化硅产品收入32.73亿元
[04:08] 同比增长43%
[04:10] 成为核心增长引擎
[04:11] IPM模块营收36.48亿元
[04:15] 同比增长25%
[04:17] 延续高景气
[04:18] 到了2026年一季度
[04:20] 营收35.19亿元
[04:22] 同比增长17.31%
[04:25] 归母净利润2.09亿元
[04:27] 同比大增40.57%
[04:30] 毛利率环比改善约三个百分点
