# 半导体-士兰微基本面分析
UP: 二郎黑杰克  时长: 02:13  发布: 2026-08-23  BV: BV1Cv8m6SEWi
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 3分钟介绍A股半导体行业上市公司士兰微
[00:03] 大家好
[00:03] 我是黑杰克
[00:04] 今天是2026年8月22日
[00:06] 士兰微
[00:07] 证券代码600460
[00:08] 所属行业为半导体
[00:09] 是沪深300指数成分股公司
[00:11] 主营业务为半导体芯片及微电子器件
[00:13] 的研发生产销售
[00:15] 首发上市日期为2003年3月11日
[00:17] 注册地址为浙江杭州市
[00:19] 上市地为上海证券交易所
[00:20] 当前总市值597亿元
[00:22] 数据截止日期2026年8月21日
[00:25] 公司是国内布局较早的半导体垂直整合类厂商
[00:28] 经营模式覆盖芯片设计
[00:29] 晶圆制造
[00:30] 封装测试全环节盈利模式为向下游客户销售
[00:33] 自研自产的各类半导体产品
[00:35] 获得营收与利润
[00:36] 公司位于半导体产业链的制造与分销衔接环节
[00:39] 在国内功率半导体赛道拥有较高的市场认可度
[00:42] 从近10年三大财务报表整体表现来看
[00:45] 公司营收规模长期保持扩张趋势
[00:47] 资产结构整体平稳
[00:48] 经营性现金流
[00:49] 随半导体行业周期呈现正常波动特征
[00:52] 2025年度报表显示
[00:53] 公司总资产约268亿
[00:55] 资产负债率约5%
[00:56] 13年营业收入约131亿
[00:58] 销售毛利率约10%
[01:00] 9年归母净利润约4亿
[01:01] 行业发展层面
[01:02] 新能源汽车
[01:03] 光伏储能
[01:04] 工业控制等下游新兴领域需求持续上升
[01:07] 给国内功率半导体行业带来明确的增量空间
[01:09] 公司核心竞争力在于全链条
[01:11] 自主可控的产线布局
[01:12] 车规及相关产品认证进度领先
[01:15] 客户资源覆盖国内多数主流下游应用厂商
[01:17] 国际化布局方面
[01:18] 公司产品已进入多个海外主流市场
[01:20] 国内多条特色工艺产线稳步推进
[01:23] 产能扩张
[01:23] 产能释放节奏符合行业正常发展规律
[01:26] 公司潜在风险点包括
[01:27] 下游终端需求不及预期
[01:29] 带来的产品价格波动风险
[01:31] 农业产能集中释放引发的市场竞争加剧风险
[01:33] 以及部分上游核心物料供应不稳定的相关风险
[01:36] 国内可比上市公司为华润微
[01:38] 证券代码688396
[01:39] 扬杰科技
[01:40] 证券代码300373
[01:42] 国际可比企业包括英飞凌
[01:43] 安思美
[01:44] 对比来看
[01:45] 士兰微是国内少数实现全流程自主可控
[01:47] 的功率半导体厂商
[01:48] 车规级箱关产品产能规模位于国内行业前列
[01:51] 结合公司经营特征与行业属性
[01:53] 公司分类归属为周期型
[01:55] 历史平均市值区间200到500亿
[01:57] 历史数据不构成投资建议
[01:59] 以上内容基于公开信息进行整理和分析
[02:01] 不保证及时准确性和完整性
[02:03] 仅供学习交流之用
[02:05] 不构成投资建议
[02:06] 投资有风险
[02:07] 决策需谨慎
[02:07] 我是黑杰克
[02:08] 正在努力打造让估值跟踪更高效的系统
[02:11] 欢迎交流
[02:11] 感谢关注
