# 面试官问：如何设计企业内部文档问答 RAG？
UP: AI深度幻觉  时长: 06:19  发布: 2026-05-18  BV: BV1LFLT6nEDB
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 大家好
[00:01] 这里是AI深度幻觉
[00:02] 这期回应一条评论
[00:04] 有同学问如何设计企业内部文档问答
[00:06] RNG就是给模型挂一个外部知识库
[00:08] 现查现答问的
[00:10] 正好这道题2026年比较成熟的回答
[00:12] 已经不只是框架加向量库了
[00:14] 怎么个不一样
[00:15] 一年前不就是那一套框架加向量数据库吗
[00:18] 现在不是了
[00:19] 先给一句话答题
[00:20] 可以按七部流水线讲文档解析
[00:22] 分块混合检索重排
[00:24] 精挑细选
[00:25] 上下文工程怎么把材料喂给模型
[00:27] 生成加引用闭环评估
[00:29] 但比七步更重要的是一条红线
[00:31] 检索和引用材料前必须按用户权限过滤模型
[00:34] 不能看到用户没权限的内容
[00:36] 权限不是产品自己控制就行了
[00:38] 为啥非得拉到检索层
[00:40] 如果只在展示层拦截就太晚
[00:42] 检索阶段已经可能把月全内容放进模型上下文
[00:44] 安全边界就失效了
[00:46] Microsoft365
[00:47] COOPPALETTE是微软办公和协作体系里的AI助手
[00:50] microsoft graph可以先理解成公司的资料地图
[00:52] COPPLOT通过它取材时会尊重现有权限
[00:55] 合规和租户边界
[00:56] 用户本来没权限看的内容
[00:58] 就不该进入可引用上下文
[00:59] 自建RNG
[01:00] 常见做法是把权限信息放进分块
[01:02] 原数据或检索过滤里
[01:03] 真正危险的是权限同步延迟
[01:05] 如果索引测权限没及时失效
[01:07] 旧权限就可能继续影响检索结果
[01:09] 我权限明白了
[01:10] 那落到检索质量第一刀是不是分块儿
[01:12] 下面进具体环节
[01:14] 第一个差异
[01:14] 在分块网上流传的层次划分快89分
[01:17] 完胜固定大小的说法
[01:19] 只能说明那套语料理的结果
[01:20] 不能当成所有公司文档的通用冠军
[01:23] 也就是说分块不是背一个冠军方案
[01:25] 而是先拿自己公司的文档是对
[01:28] 哈根face社区文章里
[01:30] jimmy团队也就是这篇对比实验的作者
[01:32] 团队在技术资料上反向得到朴素分块
[01:35] 比副段落高七个百分点
[01:36] 一个值得优先评测的候选是answer pick
[01:39] 这家AI公司2024年提的上下文检索
[01:41] 每个分块嵌入前
[01:43] 先用他家的cloud模型补一张小便签
[01:45] 写上这段来自哪里
[01:46] 在讲什么
[01:47] 再做嵌入
[01:48] 加BM25
[01:49] 也就是语义和关键词两条路一起找检索
[01:51] 失败率从5.7%降到2.9%
[01:54] 再叠重排气
[01:55] 最终降到1.9%
[01:57] 分块解决的是材料切法
[01:59] 那真正搜索时怎么把语义和关键词合起来
[02:03] 第二个差异是检索本身
[02:05] 生产里常把混合检索作为默认评测候选
[02:08] 语义检索像按意思找BM25向
[02:10] 按关键词点名
[02:11] RF像把两张成绩单按名次折算后合并
[02:14] 至于纯dance
[02:15] 也就是只靠语义向量找
[02:17] 完全不看关键词点名能不能赢
[02:19] 混合检索仍然要按语料评测
[02:21] 70%加30%
[02:23] 只能当调餐起点候选
[02:25] 也别背死数字
[02:26] 通常先捞几10~100多个候选
[02:28] 像先把简历粗筛一遍
[02:29] 再用重排器做金牌嵌入选型
[02:32] 不用被冠军榜
[02:32] 面试里说清楚几类候选就够
[02:34] 微软harrier开源BGEM3托管的voyage
[02:37] 第四代google的Gemini embedding
[02:39] 第二代open i那个旗舰嵌入不还能用吗
[02:42] 为啥不能直接默认它
[02:44] 因为OpenAI的text embedding-3杠
[02:46] large从2024年1月发布后
[02:48] 到现在还是OpenAI自家的最强embedding
[02:51] 问题是两年多里
[02:52] voyage微软google都发了新一代
[02:54] 至少在voyage和微软各自公开榜单里
[02:57] 已经在部分检索或多语种任务上超过OpenAI
[02:59] 旧期间google则把战场推到多模态m biding
[03:02] 你还把OpenAI当唯一
[03:03] 默认不是惜命
[03:04] 是惯性
[03:06] 那如果模型上下文已经很长
[03:07] 干脆全塞进去
[03:08] 不就不用检索了吗
[03:09] 高频追问
[03:10] 部分模型支持100万级上下文
[03:12] RNG是不是要死了
[03:13] 答案是没有
[03:14] 企业里仍然需要ANTHROPIC
[03:16] 2024年给过一条经验线
[03:17] 200000token
[03:18] 500页以下可以直接放进prompt缓存
[03:21] 可降低重复成本
[03:22] 100万级上下文会让可全塞场景变多
[03:24] 但有平台限额和成本限制也没有统一新阈值
[03:27] 企业语料还要权限更新和成本控制
[03:30] 通常仍要RAG或分层检索
[03:32] 按lion这家企业AI厂商势力
[03:34] 某些负载下RAG成本可能显著低于长上下文
[03:37] venture beat这家科技媒体转述一种架构
[03:39] 判断向量数据库在记忆站底层
[03:41] 像仓库LIM上下文
[03:42] 在顶层向手边桌面
[03:44] 两者是分层关系
[03:45] 不是替代关系
[03:46] 那A整化的RAG呢
[03:48] 现在大家都在聊
[03:49] 是不是该默认开按需开
[03:51] 不是默认之前在agent的架构聊过循环是核心
[03:55] 上下文工程是天花板
[03:57] 本期补充RAG场景的判断标准
[03:59] ANTHROPIC内部数据说
[04:01] 多agent会用15倍token
[04:03] 可以理解成不是一个人查资料
[04:04] 而是拉15个人同时开工
[04:06] 速度可能上去
[04:07] 账单也会一起上去
[04:08] 一个反热点的信号
[04:10] GL这家企业搜索公司做的model专用agent exsearch model
[04:14] 也就是先帮你搜证据的前置搜索模型
[04:16] 没有让前沿模型把搜索当子agent的调用
[04:19] 理由就是延迟和token
[04:21] 高频搜索不一定交给子agent
[04:22] 是否agent的话要看任务价值和预算
[04:25] 那graph rag这种听起来更高级的方案
[04:28] 要不要默认上讲两个反热点
[04:30] 第一个graph ag先把文档抽成关系网
[04:33] 像先画一张人物关系图再查案
[04:34] 不要默认上微软原文强调它适合全局整体综合
[04:37] 这类问题
[04:38] 多文档综合只是工程归纳
[04:40] 微软自己出lazy graph rag
[04:41] 把索引成本砍到full graph rag的0.1%
[04:43] 说明成本是核心约束
[04:45] 第二个就是car party
[04:46] 这位前OpenAI研究员提的LLM wiki本期定性
[04:49] 2026年4月4日发的DFL
[04:51] 更适合说是个人或团队知识库模式
[04:53] 截至5月18日
[04:54] 我没看到他在全县审计扩展性上的可核验
[04:57] 公开企业及落地案例
[04:58] 那4月声称满分的那个项目呢
[05:00] 真破记录了吗
[05:02] 不能按宣传理解说的是4月那个main palace
[05:05] 这个主打长记忆检索的项目
[05:07] 早期宣传在local和long miml
[05:09] 这两个长期评测上拿满分
[05:11] 后来官方评测文档补充口径完整500题里
[05:14] 从99.4冲到100分的
[05:15] 最后一步是针对三个具体失败题做的修补
[05:18] 等一下满分是补最后三道错题补出来的
[05:22] 那就不能当通用能力证明吧
[05:24] 对local mode top k50也就是一次先捞50条
[05:27] 候选已经超过单段对话里的绘画片段数
[05:30] 这项开卷考试把整本书都递给阅卷助手GITHUB
[05:33] 瑞米不再把100分当唯一卖点
[05:35] 留出450题
[05:36] hybrid art5是98.4
[05:38] 这里的rat5只是前五个候选里有没有答案
[05:41] 不是端到端问答架构决策不能追宣传分数
[05:44] 所以别看榜单满分了
[05:46] 真到生产力大厂到底看哪些指标
[05:48] 生产系统更该看答对率
[05:50] 延迟更新成本全线隔离
[05:52] 可观测性
[05:53] 还有大规模语料下的退化曲线
[05:55] 最后给一个能背下来的答题模板
[05:57] 架构层划清流水线
[05:58] 安全层权限在检索前栏
[06:00] 检索层分块混合检索
[06:02] 重排和嵌入都按语料评测系统层长上下文
[06:06] Agent graph rag
[06:07] 都按需再用MAPALACE提醒面试官
[06:09] 别把榜单分数当生产答案
[06:11] 能讲清这四层就算高级回答
[06:13] 你正在面这道题
[06:14] 或公司正在踩坑
[06:15] 评论区告诉我们真实经历
[06:16] 觉得有帮助的话
[06:17] 一键三连
[06:17] 我们下期再见
