# 面试官问：Agent Benchmark 怎么造？
UP: AI深度幻觉  时长: 06:44  发布: 2026-04-30  BV: BV16s9qBuEo8
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 大家好
[00:01] 这里是AI深度幻觉
[00:03] 这期回应一条评论
[00:05] 有同学问怎么构建领域agent benchmark
[00:09] 问的正好因为今年2月
[00:11] OpenAI自己停用了s w e bench verified代码
[00:16] agent的圈的高考最火的那个榜等等停用
[00:20] 为啥审了100多道难题
[00:23] 超过一半题面或评分本身就是错的
[00:26] 这跟我们如何评估RAG系统的效果
[00:29] 那期不一样
[00:29] RAG单轮一发就完
[00:31] agent呢是多步有状态
[00:33] 要靠谱跑很多次
[00:35] 那open i退役那个榜到底审出啥来
[00:39] 三类问题加起来近六成
[00:41] 三成多是测试卡死
[00:43] 实现细节正确解法被判错
[00:46] 近两成是测试要求题面没说的功能
[00:50] 剩下的零碎杂项等下
[00:52] 这还只是题本身错
[00:54] 还有更狠的吗
[00:55] 更狠的是污染
[00:57] 用专门诱供的提示词去试头部
[01:00] 三家模型都能逐字背出标准答案
[01:03] 看过题了
[01:04] 那现在该咋办
[01:06] 方法论锚点在哪儿
[01:08] 去年7月
[01:09] 伊利诺伊大学发了个ABC框架
[01:11] 必须背两条核心定义
[01:13] 结果有效性
[01:15] 评分函数能不能判成败
[01:16] 尺子准不准
[01:18] 任务有效性
[01:19] 任务本身合格的能解
[01:21] 不合格的解不开
[01:22] 提出的对不对
[01:23] 举个例子
[01:24] 结果有相亲失败长啥样
[01:26] oops做cloud那家返利最经典
[01:29] OPPOS一上来42分
[01:31] 研究员翻日志评分器
[01:33] 把96.12判成不等于任务
[01:36] 说明奇异任务还跑步重现agent的脚手架
[01:39] 工具调用那层也得放宽
[01:41] 修完跳到95分
[01:43] 53个百分点
[01:44] 不是模型弱
[01:45] 这叫神尺子
[01:46] 那要自己造一个
[01:48] 第一步是啥
[01:49] 六步流程
[01:50] 第一步
[01:51] 任务来源从生产日志抽
[01:53] 不
[01:53] 从想象抽起点
[01:55] 建议是20~50到真实失败
[01:57] 任务不是上千道质量门槛
[01:59] 两个领域专家独立判断过还是不过必须一致
[02:03] 评分方式咋选
[02:04] 是非题
[02:05] 代码题
[02:06] 主观题三种都一个套路
[02:08] 决策树能用环境最终状态判
[02:11] 就用状态比对
[02:12] 写代码就跑单侧主观题
[02:15] 靠rubric就是评分细则加打分模型
[02:19] 再请一个LLM当阅卷老师
[02:21] 最后人类抽样校准THEREPIC的反直觉
[02:25] 建议凭结果别评路径
[02:28] 可有些任务不是是非题
[02:30] 客服回答好不好
[02:32] 法律意见全不全
[02:33] 这种怎么判达成
[02:35] 这问到了更上面那层
[02:36] 一个评测榜的成绩根本不是能力测量
[02:40] 是设计选择的函数输出
[02:43] 说白了分数像高考同一个学生
[02:46] A老师出题考90
[02:48] B老师出题考60
[02:50] OpenAI自己说绝对分数别太当真
[02:52] and opic也说
[02:54] 研究类任务的好坏必须相对任务判
[02:57] 没有客观标准
[02:58] 部分得分怎么算
[03:00] 多部任务做了七成
[03:01] 给零
[03:02] 给七成还是给130
[03:05] 加三种公式根本不是同一个数学对象
[03:08] ANTHROPIC没给公式
[03:10] 多组件给部分分就行
[03:12] HARVEY做法律AI那家正分扣负分除以总正分
[03:17] health bench OpenAI的医疗榜加权命中除以最大权重
[03:22] 权重正十
[03:23] 由医生拍板
[03:24] 通过线呢
[03:26] 70%算合格
[03:27] 这数字哪来的
[03:29] 三个合法来源全部来自数学
[03:31] 第一种利益方协商医疗AI经验
[03:35] 起点AUC0.9灵敏特异
[03:38] 0.8AUC像安检机
[03:40] 总评0.5是瞎猜
[03:42] 一是百发百中灵敏度
[03:44] 看抓不抓得到病人特异度
[03:46] 看会不会冤枉健康人
[03:48] AUC这树听着挺严
[03:50] 另外两种来源呢
[03:51] 第二种实证下限
[03:54] 哈维实测律师做不到六成准则就嫌弃
[03:58] 第三种
[03:58] 借现成关卡COACATION做DAVID那家
[04:02] DAVIN号称首个AI软件工程师
