# 士兰微VS斯达半导：功率半导体双核PK
UP: 硬科技公司投研局  时长: 06:30  发布: 2026-08-22  BV: BV14p8p6DEqc
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 直接启动硬科技
[00:02] 再到战略审计
[00:03] 今天我们彻底剥离所有二级市场的喧嚣
[00:07] 抛弃那些毫无意义的宏观展望
[00:09] 咱们对攻略半导体的两大核心标的
[00:12] 士兰微雨
[00:13] 四大半岛
[00:13] 进行一次冷酷穿透式的底层财务与产能质询
[00:18] 作为首席战略官
[00:19] 我绝不听任何大有可为的产业故事
[00:22] 在这个会议室里
[00:24] 我只查验两件事
[00:25] 资产安全以及技术变现的绝对确定性
[00:29] 摆在所有机构投资者面前的
[00:32] 是一个攸关生死的拷问
[00:34] 在重资产折旧的生死线
[00:36] 和轻资产代工的绞肉机之间
[00:39] 究竟谁的资产负债表能真正撑到最后
[00:43] 咱们今天就来把这两家公司的财务质地
[00:46] 在建工程进度
[00:48] 还有量产瓶颈
[00:49] 一层一层剥开
[00:50] 看个清楚
[00:51] 第一部分核心模式的底层交付
[00:54] 咱们先掀开四大半岛的底盘
[00:57] 二到3年
[00:59] 这是车规级主驱动功率模块
[01:01] 及其严苛的验证周期
[01:03] 记住这不是一个单纯的研发指标
[01:06] 这是他最冷酷的防御护城河
[01:09] 一旦熬过了这个绞肉机般的验证周期
[01:12] 打入一线新源源主机厂
[01:14] 他的替代壁垒和议价能力
[01:16] 就成了
[01:17] 他能在残酷价格战中死守高毛利率的绝对武器
[01:21] 但是四大半岛这种轻资产的虚拟IDM模式
[01:25] 如果和士兰微的重型装甲放在一起
[01:28] 你会看到截然不同的风险偏好
[01:31] 四大半岛把资本极度聚焦在高压大电流
[01:34] IGBT和碳化硅模块的封装设计与测试上
[01:38] 是个追求极致资本回报的刺客
[01:41] 而士兰微呢他选的是最难走的路
[01:44] 覆盖从芯片设计
[01:45] 晶圆制造到封装测试的12英寸加八英寸
[01:49] 碳化硅全产业大IDM平台
[01:52] 他试图掌控的是整个底层制造机时
[01:56] 一台不折不扣的重型机器
[01:58] 第二部分
[01:59] 产能代工的极限质询
[02:02] 咱们来看看斯达半岛的软肋
[02:04] 它的前道晶圆制造极度依赖
[02:06] 像华虹半导体这样的
[02:08] 第三方代工
[02:09] 我现在要质询的核心问题是
[02:11] 当上游产能周期性收紧
[02:13] 代工费开始涨价的时候
[02:15] 这种成本压力他能不能顺利转嫁给下游
[02:17] 如果传到不下去
[02:19] 他那引以为傲的30帕以上毛利率防线
[02:22] 到底在哪一刻会彻底失守
[02:24] 轻资产的代价
[02:25] 就是把核心生产资料的命脉交到了别人的手里
[02:29] 为了绝不被带控卡脖子
[02:31] 士兰微选择了最残暴的重资产路线
[02:33] 直接拿资本砸向八英寸碳化硅等化合物
[02:37] 半导体的底层特色工艺
[02:38] 这可不是小打小闹啊
[02:40] 这种暴力的扩产
[02:41] 确实能实现完全的自主可控和极强的供给安全
[02:45] 但同时
[02:46] 他也正在对士兰微自身的资本链条
[02:48] 进行着一场极限施压
[02:50] 第三部分财务穿透审计
[02:52] 咱们只看冷冰冰的真实数据
[02:56] 咱们直接对比这组核心账本
[02:58] 2025年
[03:00] 斯达半岛的营收预计在40.12
[03:02] 到44.26亿元之间
[03:05] 体量看起来不算庞大对吧
[03:07] 但他的归母净利润超4亿元
[03:10] 这展现出了极其恐怖的盈利质量和成本控制力
[03:14] 反观士兰微大营收高负债
[03:17] 在财务安全性这项指标上处于绝对的劣势
[03:21] 穿透这两者的痴残属性
[03:23] 基因差异已懒又无疑
[03:25] 我绝不说两家各有优势
[03:27] 这种中庸的废话
[03:28] 四大半岛是一个被高门槛
[03:31] 车规赛道严密保护的优质成长资产
[03:34] 而士兰微受半导体资本开支周期
[03:37] 产能利用率严重掣肘
[03:39] 他是一头随时可能因为毛利率微小变动
[03:42] 就引发利润剧烈波动的周期巨兽
[03:45] 第四部分
[03:46] 折旧与现金流
[03:48] 这是重资产模式的极限生存测试
[03:51] 130.52元
[03:54] 这是士兰微2025年的庞大营收规模
[03:57] 但在这个巨无霸数字下
[04:00] 他的归母净利润只有区区3.99元
[04:03] 不过先别急着判死刑
[04:05] 看这个最关键的续名指标
[04:08] 他的经营活动现金流净额高达14.98亿元
[04:12] 这近15个亿的真金白银
[04:15] 是他敢在资本寒冬里继续砸钱扩产
[04:18] 硬抗短期偿债压力的唯一底气
[04:21] 但是真正的湿鞋店在这儿超12亿元
[04:26] 这是我对士兰微
[04:27] 厦门多条产线在建工程转固之后
[04:29] 做出的前置折旧失血量审计
[04:32] 在产线通线爬坡的初期
[04:35] 这每年超12亿的高额折旧
[04:37] 将无情的成吨的吞噬掉
[04:40] 它本就不高的净利润
[04:42] 跨越这个折旧高峰
[04:43] 是对他资产负债表最惨烈的压力测试
[04:46] 回头再看四大半岛的防线
[04:49] 仅仅是账面上的交易性金融资产
[04:51] 就高达28.25亿元
[04:53] 这28个亿意味着什么
[04:55] 意味着极低的资产负债率和绝对的零债务压力
[04:58] 鸠山上游供应链全线涨价
[05:00] 或者下游车企打起最血腥的价格战
[05:03] 四大半岛都有足够厚的现金装甲
[05:06] 毫发无损地活下去
[05:08] 那么士兰微拿什么来对冲
[05:11] 那恐怖的12亿折旧吞噬技术变现的确定性
[05:16] 审计数据显示
[05:17] 视蓝为12英寸
[05:19] IGBT的良率已经稳稳钉在了92帕
[05:23] 这个硬核的工艺量产指标
[05:25] 冷酷的证明
[05:26] 它在底层制造的工艺壁垒正在彻底固化
[05:30] 他的重资产投入没有打水漂
[05:32] 而是正在实打实地转化为
[05:34] IDM产能的绝对压制力
[05:36] 第五部分CSO最终战略裁决
[05:40] 任何人妥协
[05:41] 我的最终裁决如下
[05:43] 在车规级功率核心模组的演进通道
[05:45] 里
[05:45] 斯达半岛凭借28亿现金防线和轻资产运转
[05:49] 是业绩确定性极强的优质成长资产
[05:52] 而施懒威虽然正在痛苦地趟过高额折旧高峰期
[05:56] 短期利润难看
[05:57] 但只要熬过去
[05:58] 一旦它的八英寸碳化硅和12英寸
[06:01] 产能满载释放
[06:02] 它将爆发出经营杠杆带来的巨大尔法重置价值
[06:06] 今天的战略闪集就到这里
[06:08] 但产业的贴身肉搏才刚刚开始
[06:11] 当新能源800V碳化硅的超级周期全面降临
[06:16] 最后的赢家究竟是拥有最后实现金护甲的人
[06:20] 还是那个死死攥着晶圆制造绝对生产资料的人
[06:24] 拿着你们的财务模型去重新评估一下
[06:26] 你们对资产安全的真实底线吧
